year,summed_var
1981,45598.734
1982,62053.13
1983,62241.133
1984,47650.805
1985,59940.65
1986,54626.902
1987,58667.297
1988,42350.066
1989,46293.21
1990,50674.285
1991,49839.125
1992,43999.094
1993,41759.367
1994,55293.94
1995,65616.42
1996,44704.754
1997,62801.57
1998,62506.375
1999,57180.695
2000,57043.254
2001,44683.0
2002,55170.492
2003,38091.617
2004,52232.137
2005,67706.54
2006,62649.76
2007,53304.22
2008,65432.54
2009,12524.914
2010,48599.805
2011,47187.31
2012,57373.258
2013,61505.406
2014,65079.832
2015,65311.37
2016,41980.895
