Longitude,Latitude,Var
0.25,6.75,1.5541254
0.25,7.25,1.0766668
0.25,7.75,1.7333083
0.25,8.25,1.0838296
0.25,8.75,0.8958859
0.25,9.25,0.86077386
0.25,9.75,0.7671244
0.25,10.25,0.61255985
0.25,10.75,0.49357146
0.25,11.25,0.8633137
0.25,11.75,1.2267146
0.25,12.25,1.1712954
0.25,12.75,0.887294
0.25,13.25,0.44976372
0.25,13.75,0.26859298
0.25,14.25,0.18010096
0.25,14.75,0.12133477
0.25,15.25,0.10799338
0.25,15.75,0.10012731
0.25,40.75,8.5910635
0.25,41.25,3.9600499
0.25,41.75,8.839401
0.25,42.25,11.429094
0.25,42.75,12.530315
0.25,43.25,10.5025835
0.25,43.75,7.0113645
0.25,44.25,7.2448916
0.25,44.75,6.6045
0.25,45.25,9.29597
0.25,45.75,7.474809
0.25,46.25,6.6567993
0.25,46.75,6.5288863
0.25,47.25,8.453562
0.25,47.75,9.914181
0.25,48.25,7.975675
0.25,48.75,10.074226
0.75,6.25,1.1028968
0.75,6.75,1.4241297
0.75,7.25,1.4907539
0.75,7.75,1.5965796
0.75,8.25,1.5082569
0.75,8.75,1.4445875
0.75,9.25,1.4252924
0.75,9.75,1.0234067
0.75,10.25,0.7363317
0.75,10.75,0.53395903
0.75,11.25,1.1245437
0.75,11.75,1.6330677
0.75,12.25,1.5017595
0.75,12.75,1.2225657
0.75,13.25,0.4516599
0.75,13.75,0.78168255
0.75,14.75,0.31069544
0.75,15.25,0.39327696
0.75,15.75,0.26359922
0.75,41.25,7.865374
0.75,41.75,11.891673
0.75,42.25,14.426936
0.75,42.75,15.48286
0.75,43.25,9.066185
0.75,43.75,4.85698
0.75,44.25,6.069197
0.75,44.75,7.425117
0.75,45.25,11.790884
0.75,45.75,11.98629
0.75,46.25,8.300827
0.75,46.75,6.9087462
0.75,47.25,6.972966
0.75,47.75,6.949292
0.75,48.25,8.452285
0.75,48.75,9.239599
0.75,49.25,8.6123495
1.25,6.75,1.198234
1.25,7.25,1.1285514
1.25,7.75,1.1740649
1.25,8.25,1.1380324
1.25,8.75,1.2556344
1.25,9.25,1.4500724
1.25,9.75,0.7553339
1.25,10.25,0.9891438
1.25,10.75,0.861883
1.25,11.25,1.3933282
1.25,11.75,1.8214641
1.25,12.25,1.7883105
1.25,12.75,1.1356858
1.25,13.25,0.32933667
1.25,15.25,0.4441315
1.25,41.75,11.029957
1.25,42.25,18.741879
1.25,42.75,13.976477
1.25,43.25,8.215569
1.25,43.75,5.678539
1.25,44.25,7.4264274
1.25,44.75,12.533023
1.25,45.25,12.44096
1.25,45.75,11.676022
1.25,46.25,11.126106
1.25,46.75,9.356742
1.25,47.25,7.56855
1.25,47.75,6.407268
1.25,48.25,5.57259
1.25,48.75,6.034501
1.25,49.25,8.195938
1.75,6.75,1.0656979
1.75,7.25,1.0685698
1.75,7.75,1.1387881
1.75,8.25,1.2018205
1.75,8.75,1.3988955
1.75,9.25,1.4389248
1.75,9.75,1.0562042
1.75,10.25,1.2083108
1.75,10.75,1.1658887
1.75,11.25,1.2035877
1.75,11.75,1.1947494
1.75,12.25,1.4815862
1.75,12.75,3.358907
1.75,41.75,12.393327
1.75,42.25,22.023539
1.75,42.75,12.699932
1.75,43.25,6.84477
1.75,43.75,5.338485
1.75,44.25,9.131942
1.75,44.75,11.905738
1.75,45.25,13.639261
1.75,45.75,14.0796585
1.75,46.25,12.459453
1.75,46.75,9.073261
1.75,47.25,6.800465
1.75,47.75,8.066367
1.75,48.25,4.6880174
1.75,48.75,7.245757
1.75,49.25,7.6206284
1.75,49.75,8.016878
2.25,6.75,1.1172884
2.25,7.25,1.0871601
2.25,7.75,1.0366198
2.25,8.25,1.0617416
2.25,8.75,1.2883799
2.25,9.25,1.3857627
2.25,9.75,1.3911079
2.25,10.25,1.283432
2.25,10.75,1.1331587
2.25,11.25,0.78427994
2.25,11.75,0.8434378
2.25,12.25,1.4221482
2.25,12.75,5.3312693
2.25,41.75,21.226078
2.25,42.25,22.670584
2.25,42.75,13.890028
2.25,43.25,10.767536
2.25,43.75,7.895484
2.25,44.25,8.646189
2.25,44.75,12.924559
2.25,45.25,14.2234535
2.25,45.75,14.150363
2.25,46.25,11.413137
2.25,46.75,9.24135
2.25,47.25,7.012721
2.25,47.75,10.567711
2.25,48.25,6.232524
2.25,48.75,7.368219
2.25,49.25,7.5714827
2.25,49.75,5.737029
2.25,50.25,6.6003346
2.25,50.75,6.435835
2.75,6.75,1.1458678
2.75,7.25,1.1952348
2.75,7.75,1.3787347
2.75,8.25,1.5728301
2.75,8.75,1.6789691
2.75,9.25,1.6430923
2.75,9.75,1.6480693
2.75,10.25,1.4355325
2.75,10.75,0.877831
2.75,11.25,0.8243943
2.75,11.75,0.9240592
2.75,12.25,0.73390514
2.75,15.25,0.24596976
2.75,16.25,0.06269455
2.75,42.25,25.804367
2.75,42.75,9.85293
2.75,43.25,4.752549
2.75,43.75,12.503411
2.75,44.25,11.262225
2.75,44.75,13.907105
2.75,45.25,12.906286
2.75,45.75,13.402612
2.75,46.25,11.472136
2.75,46.75,10.026249
2.75,47.25,7.213007
2.75,47.75,8.854374
2.75,48.25,7.0386677
2.75,48.75,8.22126
2.75,49.25,6.521802
2.75,49.75,5.603218
2.75,50.25,5.307629
2.75,50.75,5.1471386
3.25,7.25,2.0307121
3.25,7.75,1.7805017
3.25,8.25,1.8447958
3.25,8.75,1.895432
3.25,9.25,2.0795555
3.25,9.75,1.827021
3.25,10.25,1.4395642
3.25,10.75,1.1310188
3.25,11.25,1.3520658
3.25,11.75,1.138501
3.25,12.25,0.6633588
3.25,15.25,0.51989293
3.25,15.75,0.27275506
3.25,43.75,11.122883
3.25,44.25,10.3074
3.25,44.75,12.856284
3.25,45.25,11.22785
3.25,45.75,8.931661
3.25,46.25,9.119081
3.25,46.75,10.765964
3.25,47.25,9.874984
3.25,47.75,8.991265
3.25,48.25,6.614637
3.25,48.75,5.979229
3.25,49.25,7.428247
3.25,49.75,6.554912
3.25,50.25,5.270785
3.25,50.75,6.4362593
3.75,7.25,2.3239987
3.75,7.75,2.184594
3.75,8.25,1.8844197
3.75,8.75,1.9390556
