Longitude,Latitude,Var
0.25,6.75,1.2374998
0.25,7.25,0.9795777
0.25,7.75,1.5159348
0.25,8.25,0.9478734
0.25,8.75,0.885542
0.25,9.25,0.8872731
0.25,9.75,0.7404224
0.25,10.25,0.60890216
0.25,10.75,0.65105224
0.25,11.25,0.41617802
0.75,6.25,0.8478824
0.75,6.75,1.1110573
0.75,7.25,1.1871483
0.75,7.75,1.2933033
0.75,8.25,1.1649786
0.75,8.75,0.9687836
0.75,9.25,0.9566182
0.75,9.75,0.770739
0.75,10.25,0.64287513
0.75,10.75,0.51242083
1.25,6.75,0.9304367
1.25,7.25,0.839663
1.25,7.75,0.8375967
1.25,8.25,0.80664414
1.25,8.75,0.8902911
1.25,9.25,0.912958
1.25,9.75,0.58223015
1.25,10.25,0.74112016
1.25,10.75,0.69498706
1.25,11.25,0.87879634
1.75,6.75,0.91096985
1.75,7.25,0.91872185
1.75,7.75,0.82613444
1.75,8.25,0.94441575
1.75,8.75,1.0087951
1.75,9.25,0.9880596
1.75,9.75,0.7114506
1.75,10.25,0.8054622
1.75,10.75,0.79024774
1.75,11.25,0.93584824
2.25,6.75,0.9302337
2.25,7.25,0.83572817
2.25,7.75,0.71989524
2.25,8.25,0.8324369
2.25,8.75,0.94332516
2.25,9.25,1.005206
2.25,9.75,0.9935453
2.25,10.25,0.92781174
2.25,10.75,0.8189991
2.25,11.25,0.76710314
2.25,11.75,0.69549
2.25,12.25,0.7002623
2.75,6.75,0.99097073
2.75,7.25,1.1600837
2.75,7.75,1.1472741
2.75,8.25,1.3982348
2.75,8.75,1.5287193
2.75,9.25,1.2606058
2.75,9.75,1.3970786
2.75,10.25,1.1210898
2.75,10.75,0.8238962
2.75,11.25,0.8393162
2.75,11.75,1.037416
2.75,12.25,0.8768501
3.25,7.25,1.7789129
3.25,7.75,1.6519485
3.25,8.25,1.7732675
3.25,8.75,1.8005246
3.25,9.25,1.9099717
3.25,9.75,1.7234101
3.25,10.25,1.2450136
3.25,10.75,0.88233924
3.25,11.25,1.2325094
3.25,11.75,1.321733
3.25,12.25,1.0551995
3.75,7.25,2.3560114
3.75,7.75,2.2555943
3.75,8.25,1.7961173
3.75,8.75,1.7567763
3.75,9.25,1.876851
3.75,9.75,1.7668098
3.75,10.25,1.5188888
3.75,10.75,0.79283
3.75,11.25,1.4117028
3.75,11.75,1.0705403
3.75,12.25,0.962003
3.75,12.75,1.7995639
4.25,6.75,2.8726258
4.25,7.25,2.8771777
4.25,7.75,2.479089
4.25,8.25,1.8217907
4.25,8.75,1.704686
4.25,9.25,1.9096438
4.25,9.75,1.7732507
4.25,10.25,1.565158
4.25,10.75,1.4300659
4.25,11.25,1.3735927
4.25,11.75,0.7702618
4.25,12.25,0.491023
4.25,12.75,0.33252203
4.25,13.25,0.2903084
4.25,13.75,1.8189021
