year,summed_var
1981,36852.62
1982,43123.81
1983,42128.344
1984,38023.754
1985,42217.562
1986,41714.15
1987,41965.457
1988,31785.707
1989,37013.418
1990,37636.875
1991,37939.914
1992,33267.35
1993,33912.54
1994,39191.863
1995,46519.336
1996,33600.08
1997,44425.324
1998,44555.133
1999,42472.547
2000,42622.152
2001,33879.508
2002,41059.277
2003,31480.582
2004,39249.203
2005,47799.75
2006,41604.016
2007,40497.746
2008,44602.86
2009,9503.212
2010,36601.83
2011,35393.35
2012,42800.547
2013,39819.406
2014,44158.242
2015,46289.645
2016,33314.824
