Longitude,Latitude,Var
0.25,6.75,2.2653556
0.25,7.25,1.3842696
0.25,7.75,2.3113823
0.25,8.25,1.7180967
0.25,8.75,1.8244654
0.25,9.25,1.9903054
0.25,9.75,1.6656253
0.25,10.25,1.4691055
0.25,10.75,1.338355
0.25,11.25,0.221048
0.25,11.75,0.14852948
0.25,12.25,0.13903989
0.25,12.75,0.18197258
0.25,13.25,0.19294503
0.25,13.75,0.22327955
0.25,14.25,0.360412
0.25,14.75,0.19297297
0.25,15.25,0.26988804
0.25,15.75,0.2560494
0.25,40.75,7.872006
0.25,41.25,4.5344386
0.25,41.75,9.309394
0.25,42.25,10.834575
0.25,42.75,19.842001
0.75,6.25,1.2968963
0.75,6.75,1.810242
0.75,7.25,1.9828047
0.75,7.75,2.1690593
0.75,8.25,2.1076164
0.75,8.75,2.1041722
0.75,9.25,2.2297904
0.75,9.75,1.8186481
0.75,10.25,1.562505
0.75,10.75,1.6090311
0.75,11.25,0.12614241
0.75,11.75,0.16157658
0.75,12.25,0.13430141
0.75,12.75,0.18270479
0.75,13.25,0.17943804
0.75,13.75,0.8640416
0.75,14.25,0.9102726
0.75,14.75,0.7594914
0.75,15.25,1.0917844
0.75,15.75,0.6259412
0.75,41.25,7.812274
0.75,41.75,11.520274
0.75,42.25,13.647366
0.75,42.75,14.615795
1.25,6.75,1.6219324
1.25,7.25,1.6562397
1.25,7.75,1.8039951
1.25,8.25,1.7526804
1.25,8.75,1.8979479
1.25,9.25,1.9717894
1.25,9.75,1.1869621
1.25,10.25,1.7808883
1.25,10.75,1.4452306
1.25,11.25,2.0957355
1.25,11.75,0.12105309
1.25,12.25,0.1671973
1.25,12.75,0.5731668
1.25,13.25,0.90295476
1.25,13.75,0.91161984
1.25,14.25,0.7819456
1.25,14.75,0.7648337
1.25,15.25,1.1617864
1.25,15.75,0.4114829
1.25,41.75,11.194344
1.25,42.25,17.315094
1.25,42.75,16.652578
1.75,6.75,1.7700468
1.75,7.25,1.9381195
1.75,7.75,1.8764311
1.75,8.25,1.8170453
1.75,8.75,2.8260183
1.75,9.25,2.6101522
1.75,9.75,1.1640526
1.75,10.25,2.7421234
1.75,10.75,2.6121597
1.75,11.25,2.4508672
1.75,11.75,0.10258051
1.75,12.25,0.13708733
1.75,12.75,3.7321324
1.75,13.25,1.1151488
1.75,13.75,0.7184428
1.75,14.25,0.6264385
1.75,14.75,0.40964323
1.75,41.75,12.225653
1.75,42.25,19.481804
2.25,6.75,2.7400422
2.25,7.25,1.9347386
2.25,7.75,2.037834
2.25,8.25,2.4681165
2.25,8.75,3.3096848
2.25,9.25,3.4213045
2.25,9.75,3.4592087
2.25,10.25,3.2676735
2.25,10.75,2.869315
2.25,11.25,2.090368
2.25,11.75,1.8054731
2.25,12.25,2.5148933
2.25,12.75,4.204405
2.25,13.25,1.1858635
2.25,13.75,0.6524981
