Longitude,Latitude,Var
2.75,6.75,1.7731391
2.75,7.25,1.2843558
2.75,7.75,0.5735333
2.75,8.25,0.632505
2.75,8.75,0.7286121
2.75,9.25,0.7145285
3.25,7.25,0.8850531
3.25,7.75,0.4983958
3.25,8.25,0.4712769
3.25,8.75,0.49894142
3.25,9.25,0.61117136
3.25,9.75,0.3932755
3.75,7.25,1.5334744
3.75,7.75,1.2422165
3.75,8.25,0.583381
3.75,8.75,0.5078436
3.75,9.25,0.48018026
3.75,9.75,0.335434
3.75,10.25,0.8488989
3.75,10.75,0.6175044
3.75,11.25,0.3470139
3.75,11.75,0.10695572
3.75,12.25,0.17073324
3.75,12.75,0.8222564
4.25,6.75,2.7911744
4.25,7.25,2.3843057
4.25,7.75,1.6183665
4.25,8.25,0.59774196
4.25,8.75,0.47220775
4.25,9.25,0.43784013
4.25,9.75,0.4899724
4.25,10.25,0.50515187
4.25,10.75,0.24580759
4.25,11.25,0.19413559
4.25,11.75,0.0962436
4.25,12.25,0.08702604
4.25,12.75,0.09035413
4.25,13.25,0.08956225
4.25,13.75,0.7341727
4.75,6.75,3.18493
4.75,7.25,3.1347008
4.75,7.75,1.9645802
4.75,8.25,0.8642559
4.75,8.75,0.4044493
4.75,9.25,0.45500326
4.75,9.75,0.78453887
4.75,10.25,0.27450788
4.75,10.75,0.24823543
4.75,11.25,0.17152886
4.75,11.75,0.16926457
4.75,12.25,0.0988374
4.75,12.75,0.08815873
4.75,13.25,0.08941639
4.75,13.75,0.81223184
5.25,6.25,2.9526093
5.25,6.75,2.4138815
5.25,7.25,2.4186285
5.25,7.75,1.7941431
5.25,8.25,0.787831
5.25,8.75,0.5469508
5.25,9.25,0.8649132
5.25,9.75,0.87565386
5.25,10.25,0.30920163
5.25,10.75,0.30525377
5.25,11.25,0.12016206
5.25,11.75,0.17104925
5.25,12.25,0.08550744
5.25,12.75,0.087403335
5.25,13.25,0.093916304
5.25,13.75,0.8121133
5.75,5.75,1.6177381
5.75,6.25,2.3845253
5.75,6.75,2.2647293
5.75,7.25,1.7245852
5.75,7.75,1.3735533
5.75,8.25,0.8241938
5.75,8.75,0.5699591
5.75,9.25,0.74240017
5.75,9.75,0.8251967
5.75,10.25,0.55011123
5.75,10.75,0.52152944
5.75,11.25,0.27696794
5.75,11.75,0.15019926
5.75,12.25,0.095271945
5.75,12.75,0.09186132
5.75,13.25,0.09919504
5.75,13.75,0.896063
6.25,4.75,3.2460933
6.25,5.25,2.3519614
6.25,5.75,1.64459
6.25,6.25,1.8925455
6.25,6.75,1.5792882
6.25,7.25,1.0575453
6.25,7.75,0.76127505
6.25,8.25,0.8751229
6.25,8.75,0.63400424
6.25,9.25,0.52838224
6.25,9.75,0.57169414
6.25,10.25,0.5857262
