Longitude,Latitude,Var
3.75,9.75,0.6988467
3.75,10.25,0.64129275
3.75,10.75,0.5866037
4.25,9.75,0.7361091
4.25,10.25,0.68611926
4.25,10.75,0.57231164
4.75,9.25,0.6133583
4.75,9.75,0.6665203
4.75,10.25,0.45380238
4.75,10.75,0.6089098
4.75,11.25,0.66056734
5.25,9.25,0.6867369
5.25,9.75,0.6419166
5.25,10.25,0.45407927
5.25,10.75,0.5689627
5.25,11.25,0.44084835
5.75,8.75,0.5743573
5.75,9.25,0.5665262
5.75,9.75,0.6065094
5.75,10.25,0.5851652
5.75,10.75,0.6032764
6.25,8.25,0.75243413
6.25,8.75,0.57638645
6.25,9.25,0.4766897
6.25,9.75,0.5723741
6.25,10.25,0.6750274
6.25,10.75,0.6281774
6.25,11.25,0.4829531
6.75,5.25,0.5909107
6.75,5.75,0.54832184
6.75,6.25,0.47032726
6.75,6.75,0.53408545
6.75,7.25,0.7014185
6.75,7.75,0.75651264
6.75,8.25,0.8217608
6.75,8.75,0.6478365
6.75,9.25,0.5797978
6.75,9.75,0.54786384
6.75,10.25,0.6417258
6.75,10.75,0.69308275
6.75,11.25,0.49280378
6.75,11.75,0.5802963
6.75,44.25,1.0112476
6.75,44.75,0.82308733
6.75,45.25,2.5107868
7.25,5.25,0.48813376
7.25,5.75,0.5322667
7.25,6.25,0.4840275
7.25,6.75,0.5376939
7.25,7.25,0.68726635
7.25,7.75,0.7773153
7.25,8.25,0.77858067
7.25,9.25,0.59017015
7.25,9.75,0.696631
7.25,10.25,0.68920267
7.25,10.75,0.60542464
7.25,11.25,0.45043406
7.25,11.75,0.3253248
7.25,12.25,0.2391479
7.25,12.75,0.18913288
7.25,13.25,0.14768615
7.25,44.25,4.9156723
7.25,44.75,4.6742115
7.25,45.25,3.893753
7.25,45.75,1.9335004
7.75,5.25,0.47967196
7.75,5.75,0.6416227
7.75,6.25,0.44151568
7.75,6.75,0.6268018
7.75,7.25,0.63646436
7.75,7.75,0.7080449
7.75,8.25,0.73377323
7.75,8.75,0.6841042
7.75,9.25,0.6580631
7.75,9.75,0.619586
7.75,10.25,0.5305872
7.75,10.75,0.5296026
7.75,11.25,0.43711466
7.75,11.75,0.33840984
7.75,12.25,0.22725232
7.75,12.75,0.2036165
7.75,13.25,0.15776747
7.75,44.25,5.357729
7.75,44.75,4.406229
7.75,45.25,4.790836
7.75,45.75,4.8007073
8.25,5.25,0.6933857
8.25,5.75,0.66380095
8.25,6.25,0.4143494
8.25,6.75,0.44737053
8.25,7.25,0.6557197
8.25,7.75,0.69914657
8.25,8.25,0.67174006
8.25,8.75,0.6432235
8.25,9.25,0.6405695
8.25,9.75,0.61550313
8.25,10.25,0.72577214
8.25,10.75,0.74148154
8.25,11.25,0.4881905
8.25,11.75,0.36030725
8.25,12.25,0.25567964
8.25,12.75,0.16494429
8.25,13.25,0.13906795
8.25,44.75,4.410834
8.25,45.25,3.9545293
8.25,45.75,4.721914
8.25,46.25,2.706156
8.75,5.25,0.6188457
8.75,5.75,0.9186215
8.75,6.25,0.6480717
8.75,6.75,0.5605618
8.75,7.25,0.48777056
8.75,7.75,0.55520415
8.75,8.25,0.7461064
8.75,8.75,0.6874318
8.75,9.25,0.6528017
8.75,9.75,0.49426535
8.75,10.25,0.671666
8.75,10.75,0.7901553
8.75,11.25,0.5417105
8.75,11.75,0.3380771
8.75,12.25,0.22666019
8.75,44.75,3.176517
8.75,45.25,3.6265132
8.75,45.75,4.4099417
9.25,6.25,0.63360274
9.25,6.75,0.7129722
9.25,7.25,0.47989267
9.25,7.75,0.55453515
9.25,8.25,0.74814963
9.25,8.75,0.6285031
9.25,9.25,0.5559195
9.25,9.75,0.5574367
9.25,11.25,0.35707703
9.25,11.75,0.25246653
9.25,12.25,0.19251396
9.25,44.75,4.758992
9.25,45.25,3.6137695
9.25,45.75,3.6060991
9.25,46.25,2.5978434
9.75,6.25,1.2247897
9.75,6.75,0.9487689
9.75,7.25,0.8429366
9.75,7.75,0.6133812
9.75,8.25,0.6546459
