year,summed_var
1981,11229.917
1982,14005.585
1983,13756.353
1984,12315.647
1985,13764.948
1986,13397.245
1987,13718.303
1988,10048.229
1989,11445.613
1990,12713.385
1991,12476.418
1992,11292.494
1993,10911.942
1994,13899.206
1995,13915.456
1996,11096.554
1997,13793.663
1998,14078.979
1999,14126.448
2000,14116.686
2001,11117.496
2002,13042.864
2003,10133.084
2004,13259.743
2005,14863.632
2006,13579.965
2007,13166.211
2008,13804.011
2009,3694.257
2010,11671.011
2011,12114.59
2012,13232.707
2013,12352.746
2014,14502.661
2015,14000.592
2016,10505.566
