year,summed_var
1981,41157.676
1982,46288.5
1983,47613.516
1984,40889.05
1985,43545.758
1986,45514.293
1987,44934.438
1988,38496.97
1989,39926.508
1990,43578.77
1991,39798.18
1992,41621.32
1993,40975.55
1994,44115.434
1995,48037.746
1996,41156.207
1997,45310.613
1998,47527.926
1999,44991.184
2000,42828.652
2001,41685.414
2002,43244.797
2003,40781.12
2004,43299.93
2005,49474.02
2006,44410.934
2007,43894.402
2008,44001.246
2009,3937.3445
2010,43091.61
2011,41985.617
2012,42951.566
2013,37523.996
2014,45504.35
2015,48499.89
2016,42175.94
