Longitude,Latitude,Var
6.75,44.25,2.6198916
6.75,44.75,2.6376922
6.75,45.25,6.6119266
7.25,44.25,4.748551
7.25,44.75,5.0328193
7.25,45.25,5.6146007
7.25,45.75,2.434845
7.75,44.25,4.639166
7.75,44.75,4.1073637
7.75,45.25,4.4269996
7.75,45.75,3.6842194
8.25,44.75,4.4632154
8.25,45.25,3.2292824
8.25,45.75,3.9943273
8.25,46.25,4.699256
8.75,40.25,3.3934026
8.75,44.75,3.6034634
8.75,45.25,2.915437
8.75,45.75,3.6943011
9.25,39.75,2.5106595
9.25,40.25,3.9806645
9.25,40.75,4.0220213
9.25,44.75,5.1161795
9.25,45.25,3.3532872
9.25,45.75,3.0893993
9.25,46.25,4.6796274
9.75,44.75,4.4093404
9.75,45.25,2.8634624
9.75,45.75,3.3182247
9.75,46.25,4.105691
10.25,44.75,4.0959215
10.25,45.25,3.0777395
10.25,45.75,3.3697622
10.25,46.25,2.9027426
10.75,43.75,4.6351023
10.75,44.25,5.3169785
10.75,44.75,3.633245
10.75,45.25,2.8687627
10.75,45.75,3.4704137
10.75,46.25,2.5233188
11.25,43.25,4.4622636
11.25,43.75,4.524137
11.25,44.25,5.441535
11.25,44.75,3.138219
11.25,45.25,2.6971157
11.25,45.75,4.491183
11.25,46.25,4.3568344
11.75,42.75,4.5341377
11.75,43.25,3.3640635
11.75,43.75,4.9700947
11.75,44.25,3.868195
11.75,44.75,2.8228772
11.75,45.25,2.6687634
11.75,45.75,3.1929054
11.75,46.25,4.5004225
11.75,46.75,1.6687776
12.25,42.25,3.9450977
12.25,42.75,4.3506384
12.25,43.25,3.8483171
12.25,43.75,5.177976
12.25,46.25,4.553253
12.25,46.75,2.96155
12.25,47.25,2.595796
12.75,42.25,4.5039444
12.75,42.75,4.524717
12.75,43.25,4.546079
12.75,46.25,3.095768
12.75,46.75,4.195517
13.25,41.75,4.4676113
13.25,42.25,4.7160454
13.25,42.75,4.769004
13.25,43.25,4.087505
13.25,46.25,2.899759
13.25,46.75,3.7438402
13.75,41.75,4.411134
13.75,42.25,3.9461582
13.75,46.25,4.5714893
14.25,41.25,3.7617793
14.25,41.75,5.33902
14.75,41.25,4.05255
14.75,41.75,3.5653846
15.25,40.75,4.881149
15.25,41.25,3.5299842
15.75,40.75,4.5196
15.75,41.25,1.9520237
16.25,39.75,3.550017
16.25,40.25,3.4946253
16.25,40.75,2.845167
16.75,39.25,3.7954164
16.75,40.75,1.7859867
22.25,48.25,3.284422
22.25,48.75,3.4205058
22.75,48.25,3.201033
22.75,48.75,4.3917274
22.75,49.25,5.0198183
22.75,49.75,4.92025
23.25,48.25,3.7847254
23.25,48.75,5.22346
23.25,49.25,4.7969537
23.25,49.75,4.3963985
23.25,50.25,4.4300785
23.75,48.25,4.4009895
23.75,48.75,5.3298903
23.75,49.25,4.5506363
23.75,49.75,4.306252
23.75,50.25,4.370625
23.75,50.75,3.4965863
23.75,51.25,4.420191
23.75,51.75,4.2508645
24.25,47.75,5.031362
24.25,48.25,4.768114
24.25,48.75,4.939017
24.25,49.25,4.407764
24.25,49.75,4.196482
24.25,50.25,4.089032
24.25,50.75,3.440809
24.25,51.25,4.0518184
24.25,51.75,3.6751566
24.75,47.75,4.2520995
24.75,48.25,5.329351
24.75,48.75,4.6965537
24.75,49.25,4.0563426
24.75,49.75,4.250151
24.75,50.25,3.9175098
24.75,50.75,3.3488948
24.75,51.25,3.8953316
24.75,51.75,3.1592097
25.25,47.75,4.261167
25.25,48.25,4.5708494
25.25,48.75,4.0296865
25.25,49.25,3.7316153
25.25,49.75,3.7824218
25.25,50.25,3.6256435
25.25,50.75,3.4076862
25.25,51.25,3.7893345
25.25,51.75,3.0176022
25.75,-18.75,14.90355
25.75,-18.25,15.274491
25.75,47.75,5.0267477
25.75,48.25,4.1448836
25.75,48.75,3.6541743
25.75,49.25,3.9508247
25.75,49.75,3.8910832
25.75,50.25,3.7730637
25.75,50.75,3.6075063
25.75,51.25,4.4054947
25.75,51.75,3.181561
26.25,-19.25,15.61413
26.25,-18.75,15.130202
26.25,-18.25,15.314699
26.25,-17.75,15.600435
26.25,41.25,2.1627643
26.25,41.75,2.2857876
26.25,48.25,3.6688995
26.25,48.75,3.6857338
26.25,49.25,3.8486667
26.25,49.75,3.6884336
26.25,50.25,3.942317
26.25,50.75,3.7693713
26.25,51.25,3.799278
26.25,51.75,3.2305973
26.75,-19.75,14.313283
26.75,-19.25,15.42488
26.75,-18.75,15.635999
26.75,-18.25,15.223173
