Longitude,Latitude,Var
0.25,34.75,0.77988374
0.25,35.25,0.84949493
0.25,40.75,3.2338824
0.25,41.25,1.3387381
0.25,41.75,2.957382
0.25,42.25,4.0360613
0.25,42.75,5.232474
0.25,43.25,7.6555376
0.25,43.75,6.076382
0.25,44.25,5.7464147
0.25,44.75,5.369051
0.25,45.25,6.9189515
0.25,45.75,5.973277
0.25,46.25,5.809805
0.25,46.75,5.842626
0.25,47.25,6.9571757
0.25,47.75,8.159614
0.25,48.25,7.057258
0.25,48.75,8.520243
0.25,51.75,6.5045495
0.25,52.25,6.548442
0.75,34.75,0.4163683
0.75,35.25,0.67124087
0.75,35.75,0.78514504
0.75,41.25,2.9814475
0.75,41.75,3.7983284
0.75,42.25,4.510389
0.75,42.75,5.516264
0.75,43.25,7.7111015
0.75,43.75,4.5808873
0.75,44.25,4.7651505
0.75,44.75,6.147602
0.75,45.25,8.723298
0.75,45.75,9.472356
0.75,46.25,7.439291
0.75,46.75,5.9464855
0.75,47.25,5.9745154
0.75,47.75,6.385098
0.75,48.25,7.4462805
0.75,48.75,7.905523
0.75,49.25,7.5726833
0.75,52.25,6.5372853
0.75,52.75,6.451493
1.25,34.75,0.4411154
1.25,35.25,0.9045287
1.25,35.75,1.0393537
1.25,36.25,0.9900504
1.25,41.75,4.9710107
1.25,42.25,5.868285
1.25,42.75,6.6069784
1.25,43.25,6.7254014
1.25,43.75,4.5167546
1.25,44.25,5.926243
1.25,44.75,8.95253
1.25,45.25,9.856807
1.25,45.75,9.759755
1.25,46.25,9.657048
1.25,46.75,8.046541
1.25,47.25,6.266475
1.25,47.75,5.29822
1.25,48.25,5.4342637
1.25,48.75,6.231026
1.25,49.25,6.8301477
1.25,52.25,6.7400923
1.75,35.25,0.5887206
1.75,35.75,0.81693655
1.75,36.25,1.4107879
1.75,41.75,4.8552957
1.75,42.25,6.693085
1.75,42.75,7.5925765
1.75,43.25,5.8810043
1.75,43.75,4.446096
1.75,44.25,7.2037926
1.75,44.75,9.343067
1.75,45.25,10.382295
1.75,45.75,10.648676
1.75,46.25,10.140875
1.75,46.75,8.172331
1.75,47.25,5.8642025
1.75,47.75,6.4877334
1.75,48.25,4.2493315
1.75,48.75,6.241005
1.75,49.25,6.539797
1.75,49.75,7.3782234
2.25,35.25,0.147186
2.25,35.75,1.2026993
2.25,36.25,1.6836414
2.25,41.75,7.1581526
2.25,42.25,7.2030687
2.25,42.75,10.569971
2.25,43.25,6.5960956
2.25,43.75,6.8033524
2.25,44.25,7.607567
2.25,44.75,10.466945
2.25,45.25,10.608963
2.25,45.75,10.410401
2.25,46.25,9.652313
2.25,46.75,8.249419
2.25,47.25,5.868202
2.25,47.75,7.836275
2.25,48.25,5.323671
2.25,48.75,5.966358
2.25,49.25,6.309821
2.25,49.75,5.167893
2.25,50.25,5.8828344
2.25,50.75,5.486067
2.75,34.25,0.19972919
2.75,35.75,0.69310266
2.75,36.25,1.7445711
2.75,42.25,9.917898
2.75,42.75,5.668924
2.75,43.25,3.6636457
2.75,43.75,10.090622
2.75,44.25,9.264525
2.75,44.75,10.110101
2.75,45.25,9.102775
2.75,45.75,9.733452
2.75,46.25,9.463419
2.75,46.75,8.784135
2.75,47.25,6.6898155
2.75,47.75,7.4342914
2.75,48.25,5.881302
2.75,48.75,6.595479
2.75,49.25,5.323344
2.75,49.75,4.4969125
2.75,50.25,4.66731
2.75,50.75,4.2524805
3.25,34.75,0.2633727
3.25,35.75,0.3101094
3.25,36.25,1.0259436
3.25,43.75,6.599684
3.25,44.25,7.5866814
3.25,44.75,9.251364
3.25,45.25,8.589636
3.25,45.75,7.0912337
3.25,46.25,7.479929
3.25,46.75,9.326563
3.25,47.25,8.177626
3.25,47.75,7.625904
3.25,48.25,6.1973352
3.25,48.75,5.2924705
3.25,49.25,5.926057
3.25,49.75,5.252642
3.25,50.25,4.43197
3.25,50.75,4.961935
3.75,36.25,1.1685228
3.75,43.75,5.3306737
3.75,44.25,9.36975
3.75,44.75,8.795983
3.75,45.25,8.793617
3.75,45.75,10.071855
3.75,46.25,9.227828
3.75,46.75,9.247056
3.75,47.25,9.54565
3.75,47.75,7.002023
3.75,48.25,6.824332
3.75,48.75,5.4786115
3.75,49.25,6.0080276
3.75,49.75,5.3964214
3.75,50.25,6.6761885
4.25,36.25,0.9500411
4.25,44.25,8.016556
4.25,44.75,9.017642
4.25,45.25,9.730718
4.25,45.75,8.446309
4.25,46.25,9.345518
4.25,46.75,9.833936
4.25,47.25,8.799247
4.25,47.75,7.805787
4.25,48.25,6.966487
4.25,48.75,4.441334
4.25,49.25,4.822307
4.25,49.75,6.686098
4.25,50.25,10.244985
4.75,35.75,0.19631664
4.75,36.25,0.9860973
4.75,43.75,4.9412594
4.75,44.25,4.579149
4.75,44.75,8.078814
4.75,45.25,6.7837243
4.75,45.75,6.8561015
4.75,46.25,6.526777
4.75,46.75,8.222906
4.75,47.25,8.130734
4.75,47.75,8.84113
4.75,48.25,8.131054
4.75,48.75,6.0145144
4.75,49.25,5.6952286
4.75,49.75,10.415123
4.75,50.25,11.369298
5.25,34.75,0.41900858
5.25,35.75,0.47011805
5.25,36.25,0.8063238
5.25,44.25,5.5513577
5.25,44.75,7.2309117
5.25,45.25,7.8924727
5.25,45.75,7.0019097
5.25,46.25,8.139575
5.25,46.75,8.418097
5.25,47.25,7.5939603
5.25,47.75,7.7328362
5.25,48.25,8.519208
5.25,48.75,7.894513
5.25,49.25,8.33669
5.25,49.75,10.940342
5.75,35.75,0.44702312
5.75,36.25,0.8758489
5.75,43.75,6.82585
5.75,44.25,7.0577817
5.75,44.75,8.323441
5.75,45.25,8.848351
5.75,45.75,9.380046
5.75,46.25,9.706961
5.75,46.75,10.101813
5.75,47.25,8.981783
5.75,47.75,8.9167795
5.75,48.25,9.323386
5.75,48.75,8.573528
5.75,49.25,8.147219
5.75,49.75,8.224168
5.75,51.25,6.7725124
6.25,33.75,0.133114
6.25,35.25,0.31454575
6.25,35.75,0.6463666
6.25,36.25,1.2550697
6.25,43.75,7.1087556
6.25,44.25,7.006541
